Species,Region,Pollution_Level,Illegal_Wildlife_Trade_Rate,Food_Availability,Human_Population_Density,Species_Reproduction_Rate,Climate_Change_Impact,Protected_Area_Presence,Invasive_Species_Presence,Extinction_Risk
Sumatran Tiger,Middle East,94.76,28.78,34.29,14.63,1.58,93.82,0,1,1
Red Panda,North America,59.76,63.69,12.83,27.07,1.99,87.47,1,0,1
Galapagos Penguin,Southeast Asia,72.76,26.1,39.64,22.82,2.21,82.95,1,0,0
Black Rhino,Middle East,75.55,40.18,52.37,94.86,1.57,43.09,0,0,0
Saola,Central Asia,69.5,56.76,24.25,16.91,1.65,74.16,1,1,0
Pangolin,Middle East,95.22,48.67,43.29,50.87,1.77,64.01,0,0,0
Hellbender Salamander,South America,81.67,47.52,22.91,44.56,1.93,85.48,0,0,1
Sumatran Tiger,Central Asia,73.76,34.65,32.45,11.0,2.24,74.87,1,0,1
Red Panda,Middle East,64.88,49.86,38.17,74.43,1.89,79.5,0,1,1
Kakapo,Sub-Saharan Africa,90.14,63.05,6.17,80.36,2.02,83.46,1,0,1
Hawksbill Turtle,South Asia,76.28,50.26,49.29,38.46,2.79,65.02,0,1,1
Asian Elephant,Southeast Asia,58.39,39.21,36.39,33.86,1.67,86.11,1,0,0
Pangolin,South Asia,83.07,33.78,7.12,6.0,1.77,75.36,0,1,0
Pangolin,Europe,51.05,39.48,9.46,9.5,2.24,83.37,0,1,0
Galapagos Penguin,Middle East,84.39,55.1,20.52,26.5,2.35,68.02,0,0,1
Iberian Lynx,Middle East,77.51,54.47,17.81,15.06,2.15,57.45,1,0,0
Bengal Tiger,Sub-Saharan Africa,84.25,39.59,43.11,60.62,2.63,69.03,1,1,0
Orangutan,Central Asia,68.09,21.26,25.14,9.13,2.11,56.45,1,1,0
Mountain Gorilla,Sub-Saharan Africa,80.91,55.46,22.9,8.32,1.31,61.64,0,0,1
Sea Otter,Oceania,93.99,38.33,8.55,47.7,2.03,87.36,1,1,1
Snow Leopard,Southeast Asia,51.18,58.96,6.63,42.38,1.8,89.19,0,1,0
Hawksbill Turtle,South Asia,58.4,40.17,10.56,36.45,2.48,67.55,0,0,0
Axolotl,South America,52.16,37.16,13.28,55.23,2.34,91.54,0,1,1
Javan Rhino,East Asia,83.13,51.99,12.15,19.39,1.44,78.95,1,1,0
Red Panda,Sub-Saharan Africa,82.75,80.65,26.14,23.67,2.47,68.63,1,0,0
Sumatran Tiger,Europe,38.66,59.74,24.43,41.43,2.33,71.46,1,0,1
Whooping Crane,South America,75.32,51.77,56.55,38.29,1.89,83.91,0,0,1
Giant Panda,Middle East,56.95,54.67,1.08,16.19,1.97,91.22,1,1,0
California Condor,South America,80.4,27.24,1.59,67.49,2.49,81.49,0,1,1
Iberian Lynx,Oceania,49.23,35.41,10.59,11.31,1.31,49.38,0,0,0
Iberian Lynx,Central Asia,66.23,17.36,11.34,25.24,2.16,84.64,1,0,0
African Elephant,North America,88.23,72.49,60.84,12.09,2.38,50.24,0,1,1
Iberian Lynx,Southeast Asia,78.32,69.86,29.97,131.76,1.97,48.45,0,1,1
Sea Otter,Southeast Asia,60.02,55.11,17.25,34.55,2.23,40.74,1,1,0
Axolotl,Sub-Saharan Africa,39.12,51.76,24.71,14.22,2.04,87.27,0,1,0
African Elephant,East Asia,65.34,29.83,43.01,22.97,1.73,85.18,1,1,0
Pangolin,South Asia,74.59,47.15,21.32,41.0,1.72,39.98,0,0,1
California Condor,South Asia,99.75,73.3,42.34,60.32,2.25,88.22,1,1,1
Sea Otter,South Asia,89.14,51.71,20.0,15.5,1.78,83.25,1,1,1
Giant Panda,Central Asia,67.91,42.66,29.82,83.13,1.47,49.08,1,0,0
California Condor,East Asia,90.63,27.15,35.3,33.56,2.04,93.84,1,0,0
California Condor,Sub-Saharan Africa,74.78,67.94,29.14,48.02,1.82,66.78,0,0,1
Mountain Gorilla,Middle East,79.18,49.09,2.29,21.56,1.58,88.71,1,1,0
Asian Elephant,Central Asia,95.25,27.16,27.23,43.24,2.03,87.5,1,0,0
Amur Leopard,Middle East,48.44,37.98,10.16,20.27,2.27,75.52,1,1,0
Axolotl,Oceania,65.06,33.39,11.24,23.99,2.01,71.67,0,0,0
Saola,Sub-Saharan Africa,76.16,48.29,15.79,61.9,1.63,55.92,1,0,0
Galapagos Penguin,Oceania,85.36,52.7,19.73,46.14,2.17,95.05,1,0,1
Hellbender Salamander,Sub-Saharan Africa,75.65,43.46,36.52,25.97,2.36,64.52,0,1,0
Galapagos Penguin,Europe,87.35,60.1,6.4,59.59,2.77,61.31,0,1,1
California Condor,South Asia,91.68,51.02,50.02,40.03,2.5,83.74,0,0,1
California Condor,Middle East,93.16,63.81,25.93,4.91,1.65,76.57,0,1,1
African Elephant,Southeast Asia,78.99,45.36,34.95,29.92,2.3,82.34,0,1,0
Blue Whale,Sub-Saharan Africa,75.23,89.59,4.55,60.97,2.09,76.1,0,1,1
Sea Otter,South Asia,90.93,42.66,6.32,100.46,1.6,76.66,0,1,1
Axolotl,Europe,78.38,38.26,22.98,13.0,2.1,83.46,0,1,0
Bengal Tiger,East Asia,79.54,36.66,83.66,58.24,2.67,74.08,1,0,1
African Elephant,Sub-Saharan Africa,77.78,47.26,48.29,33.39,2.42,42.97,1,1,0
Pangolin,Southeast Asia,85.19,27.65,68.36,11.0,1.65,84.78,0,1,1
Iberian Lynx,Sub-Saharan Africa,69.88,53.83,28.35,11.92,2.0,35.53,0,1,0
Mountain Gorilla,Sub-Saharan Africa,86.12,25.23,2.5,13.46,2.17,55.34,0,1,1
Mountain Gorilla,Middle East,71.84,52.1,12.29,7.9,1.39,77.59,0,0,1
Giant Panda,Sub-Saharan Africa,70.02,32.43,12.52,10.06,1.41,83.77,0,1,1
Axolotl,North America,51.79,45.04,19.21,34.39,2.05,75.32,0,1,1
Snow Leopard,Sub-Saharan Africa,88.68,57.86,36.6,4.79,2.06,75.16,0,1,1
Axolotl,Southeast Asia,64.06,79.95,14.49,15.72,1.36,81.44,1,0,0
Saola,North America,70.52,35.99,17.38,24.2,2.14,87.4,1,1,0
Saola,Sub-Saharan Africa,38.1,48.05,50.11,15.81,2.38,64.1,1,0,0
Kakapo,South America,78.19,40.59,45.84,8.97,1.92,89.52,0,0,0
Pangolin,Southeast Asia,62.78,38.69,32.68,32.57,2.02,73.54,1,1,1
Sea Otter,Oceania,78.65,40.71,41.53,15.52,2.2,89.46,0,0,0
Galapagos Penguin,Middle East,61.4,60.71,26.95,16.63,2.15,61.57,1,0,0
California Condor,Sub-Saharan Africa,71.77,43.66,58.16,28.84,1.42,87.22,1,1,1
Galapagos Penguin,Central Asia,38.47,79.24,17.16,50.63,1.68,36.02,1,1,0
Red Panda,Europe,87.21,55.41,33.12,18.96,1.86,84.87,1,0,1
Red Panda,Oceania,61.42,36.87,29.52,19.81,1.7,58.01,0,1,0
Hawksbill Turtle,Southeast Asia,53.48,45.23,27.06,10.6,2.51,74.81,0,1,0
Axolotl,Oceania,99.23,39.58,26.04,60.49,2.22,90.62,0,1,1
Giant Panda,Oceania,69.43,60.4,47.93,33.01,1.61,93.85,0,0,0
California Condor,Southeast Asia,65.37,28.7,17.13,57.85,1.92,77.9,1,1,0
Sumatran Tiger,Europe,39.81,32.57,15.88,64.43,2.4,91.21,1,0,0
African Elephant,Southeast Asia,82.05,42.31,45.5,18.74,1.77,81.28,1,1,0
Galapagos Penguin,Central Asia,83.22,58.88,33.86,54.86,2.3,80.77,0,0,1
African Elephant,Middle East,75.58,66.03,41.39,35.51,2.48,96.78,1,0,0
Sea Otter,Middle East,90.96,67.95,9.82,20.2,2.43,79.73,1,0,1
African Elephant,South America,73.85,56.89,6.62,17.61,2.06,80.81,0,0,1
Red Panda,Southeast Asia,83.64,48.92,36.01,32.31,2.44,79.09,1,0,1
Kakapo,South America,59.83,60.33,11.94,38.32,1.82,63.04,1,1,1
Sea Otter,East Asia,58.73,35.12,25.38,3.46,2.87,96.5,1,0,0
Amur Leopard,Middle East,88.08,26.02,48.23,22.67,2.08,60.13,0,0,1
California Condor,North America,48.88,55.68,24.85,37.13,2.4,81.96,1,1,0
Galapagos Penguin,East Asia,69.21,36.93,13.78,43.78,1.87,76.79,1,0,0
Hawksbill Turtle,Middle East,58.18,49.15,24.78,28.66,2.17,91.72,1,1,0
Kakapo,Central Asia,78.86,51.56,55.28,42.83,2.19,82.2,0,1,1
Sea Otter,Sub-Saharan Africa,54.89,53.23,27.56,17.64,1.67,88.03,0,1,0
Black Rhino,South America,79.61,62.19,1.43,42.04,1.66,62.25,0,0,0
Sea Otter,Middle East,49.97,60.82,17.29,37.99,1.93,87.16,1,1,0
Whooping Crane,Middle East,62.82,52.54,24.07,63.72,2.39,75.08,1,1,1
Asian Elephant,Southeast Asia,80.28,44.25,42.71,86.02,1.36,60.22,1,1,1
Galapagos Penguin,Middle East,90.93,51.4,30.34,64.8,1.87,79.24,0,0,1
Iberian Lynx,North America,74.54,42.25,34.11,25.96,2.46,91.18,0,1,1
Blue Whale,East Asia,48.05,47.45,30.25,11.19,1.57,88.16,0,0,0
Galapagos Penguin,North America,84.24,84.04,8.99,15.71,2.44,69.38,1,1,0
Vaquita,Middle East,75.15,52.37,8.29,84.46,1.61,82.97,0,1,1
Pangolin,East Asia,48.84,55.85,21.52,33.59,1.68,70.6,1,0,0
Orangutan,Middle East,79.21,40.83,3.82,39.1,1.95,79.74,0,0,1
Orangutan,Southeast Asia,91.48,63.26,27.49,57.8,2.66,55.34,1,0,1
Giant Panda,North America,80.18,59.88,14.89,32.08,1.78,45.37,0,1,0
Hellbender Salamander,North America,56.26,59.98,4.75,71.59,1.39,77.21,0,1,1
Giant Panda,Sub-Saharan Africa,88.64,52.79,39.61,9.93,1.51,88.42,1,0,1
African Elephant,Oceania,40.35,63.44,7.59,45.26,2.33,48.93,0,0,0
California Condor,South America,91.26,66.53,36.47,102.32,1.53,76.23,0,0,1
Pangolin,Central Asia,91.43,53.68,57.9,75.53,2.42,83.04,1,0,1
Amur Leopard,Europe,88.96,48.51,11.22,78.53,2.02,75.06,0,1,1
Sea Otter,South Asia,32.19,61.63,13.99,8.98,1.99,94.11,1,1,0
Vaquita,Europe,84.69,38.25,9.84,37.53,2.1,65.56,0,0,1
Giant Panda,South Asia,46.36,40.67,42.78,29.12,1.72,88.75,0,1,0
Sea Otter,South Asia,84.74,49.31,28.16,15.63,2.05,64.4,0,1,1
Mountain Gorilla,North America,59.87,27.36,13.69,37.97,1.58,80.92,0,0,0
Pangolin,Southeast Asia,78.05,60.76,46.39,11.29,2.47,85.16,1,0,0
California Condor,Oceania,90.74,37.48,19.62,42.76,1.64,69.4,1,1,1
California Condor,Middle East,54.08,43.87,10.02,14.61,2.15,28.54,1,1,0
Vaquita,Sub-Saharan Africa,75.93,47.23,21.45,41.22,1.64,85.21,0,0,1
Galapagos Penguin,Central Asia,78.92,50.51,16.83,16.28,1.81,66.03,0,1,0
Iberian Lynx,Central Asia,81.04,45.53,4.17,24.79,1.87,70.59,1,0,1
Saola,Middle East,59.45,49.12,3.46,22.97,3.04,62.31,0,1,1
Giant Panda,Sub-Saharan Africa,47.21,49.22,4.77,28.67,1.99,94.17,1,1,0
Vaquita,Central Asia,67.43,44.19,4.64,30.95,1.71,79.97,1,0,1
Kakapo,Southeast Asia,37.36,39.95,30.04,23.05,1.84,83.3,0,1,0
Hellbender Salamander,North America,76.22,64.06,12.18,13.26,1.47,79.15,0,1,0
Snow Leopard,Europe,88.64,22.64,11.78,66.67,1.94,63.01,1,0,1
Javan Rhino,East Asia,65.66,47.33,8.23,31.96,2.65,75.75,0,1,1
Sumatran Tiger,South America,80.35,43.9,27.83,38.6,2.12,74.46,1,0,0
California Condor,South Asia,50.92,55.44,32.67,23.06,2.32,89.59,1,1,0
Amur Leopard,Oceania,56.21,31.09,36.97,134.38,1.68,85.81,0,0,0
African Elephant,South America,55.72,43.5,43.36,34.07,1.93,87.57,0,1,1
Blue Whale,South Asia,65.21,48.67,51.7,69.01,2.07,94.86,0,0,1
Sumatran Tiger,Europe,62.59,63.91,7.28,25.11,1.75,84.99,0,0,1
Sumatran Tiger,Southeast Asia,74.04,54.32,55.1,46.57,2.14,55.81,1,1,0
Iberian Lynx,Europe,73.36,34.61,11.17,27.77,2.22,75.31,1,0,1
Giant Panda,Middle East,86.09,43.66,30.43,61.57,2.19,94.8,1,1,1
Giant Panda,North America,58.21,61.52,22.31,21.12,1.95,80.19,1,1,0
Saola,Middle East,95.43,34.39,2.16,11.87,2.38,90.81,1,0,1
Axolotl,Oceania,49.72,48.98,57.77,38.51,1.91,65.16,1,1,0
Snow Leopard,Central Asia,91.2,49.88,57.44,64.43,1.88,90.18,1,0,0
Javan Rhino,Central Asia,60.86,44.98,19.19,28.42,2.5,77.91,1,1,0
Pangolin,South America,69.59,85.04,68.8,20.66,1.61,87.44,0,1,1
Snow Leopard,Middle East,81.8,44.63,23.94,9.93,1.4,94.43,0,1,1
African Elephant,Southeast Asia,94.29,55.85,35.67,65.05,1.7,74.43,1,0,0
Saola,Middle East,51.88,40.04,32.22,15.15,2.14,86.94,0,0,0
Sea Otter,Central Asia,57.28,56.86,44.36,22.81,2.45,67.25,1,0,0
Asian Elephant,Southeast Asia,77.78,61.32,44.28,22.4,1.77,82.02,1,1,0
Amur Leopard,Sub-Saharan Africa,66.08,42.36,52.11,30.19,2.64,96.0,0,1,1
Orangutan,South America,65.42,49.29,16.84,46.3,2.01,91.55,1,0,0
Hellbender Salamander,South America,35.92,38.36,19.77,109.3,1.96,91.95,0,0,1
Saola,Sub-Saharan Africa,91.97,35.12,80.83,39.73,1.7,84.12,0,1,1
Orangutan,Central Asia,84.27,63.48,54.82,9.98,2.68,53.98,0,0,1
Saola,Southeast Asia,92.47,42.8,78.09,29.04,1.95,96.68,0,0,1
Snow Leopard,South Asia,92.5,18.62,2.33,40.17,1.53,81.28,0,0,1
Orangutan,Europe,67.26,72.95,21.66,72.37,2.86,62.19,0,0,1
Red Panda,Southeast Asia,81.37,39.57,16.63,66.77,2.14,23.36,1,0,1
Whooping Crane,East Asia,69.95,46.8,55.58,28.18,2.28,86.4,0,1,1
Sea Otter,Middle East,79.77,71.33,33.11,33.38,2.59,67.49,1,1,1
Galapagos Penguin,Oceania,96.33,48.16,30.69,37.0,2.22,53.64,0,0,1
Pangolin,East Asia,74.91,47.88,26.03,33.48,2.34,94.05,0,1,1
African Elephant,Middle East,72.58,34.03,27.48,29.0,2.02,62.51,0,0,0
Vaquita,South Asia,65.07,28.75,10.07,87.59,2.26,91.37,0,1,0
Hellbender Salamander,Middle East,61.28,47.84,13.03,17.81,1.99,77.37,1,1,0
Bengal Tiger,Sub-Saharan Africa,90.14,54.72,27.99,58.97,1.99,95.45,0,0,0
Sumatran Tiger,South America,51.27,53.97,36.2,51.67,2.04,73.19,0,0,0
Javan Rhino,South Asia,49.1,43.74,17.17,28.16,1.86,74.94,1,1,0
Orangutan,South America,91.15,50.26,67.55,16.86,2.18,77.45,1,1,1
Galapagos Penguin,South America,46.95,26.12,26.3,31.86,2.18,79.67,1,1,0
Asian Elephant,Central Asia,60.49,55.98,2.82,47.7,2.29,67.28,0,0,1
Bengal Tiger,Oceania,74.19,52.1,47.36,1.2,2.22,82.29,0,0,1
African Elephant,Europe,49.29,75.66,42.89,11.21,2.7,63.41,0,0,1
Kakapo,Central Asia,87.93,50.1,38.6,2.49,2.37,96.25,0,0,0
Hellbender Salamander,North America,79.79,37.75,24.89,38.9,1.93,40.77,1,0,0
Snow Leopard,Europe,60.66,49.34,25.26,37.62,2.16,64.87,0,0,0
Kakapo,Oceania,87.86,45.74,17.51,12.44,2.49,54.55,0,0,0
Giant Panda,Sub-Saharan Africa,81.54,55.65,55.22,15.75,1.67,58.85,1,1,0
Kakapo,Oceania,84.59,50.35,15.48,36.09,2.7,35.46,1,0,0
Iberian Lynx,Central Asia,79.33,33.62,30.92,7.07,1.73,80.81,0,1,0
African Elephant,North America,28.88,28.74,33.27,49.76,2.32,76.8,1,0,0
Javan Rhino,North America,49.46,53.42,25.08,25.74,2.0,88.01,0,0,0
Whooping Crane,Middle East,64.06,67.98,31.37,30.26,1.98,93.79,0,0,1
Sumatran Tiger,Southeast Asia,77.58,51.03,55.99,32.25,1.54,88.59,1,0,0
Snow Leopard,Southeast Asia,48.96,60.57,9.81,10.17,2.32,91.0,0,0,1
Blue Whale,South Asia,92.99,63.17,14.36,32.38,1.55,72.06,0,0,0
Blue Whale,South Asia,72.13,53.47,21.46,45.66,1.5,66.36,0,1,1
Saola,East Asia,38.78,39.41,3.24,17.13,2.41,84.58,1,0,0
Giant Panda,Southeast Asia,97.51,52.54,28.44,15.52,2.63,86.06,1,0,0
Sumatran Tiger,South America,67.91,65.69,26.23,104.85,1.77,89.87,1,0,0
Galapagos Penguin,East Asia,73.7,56.89,44.59,14.15,2.35,64.37,0,0,1
Asian Elephant,East Asia,87.78,59.73,49.81,21.86,2.28,86.71,0,0,0
Mountain Gorilla,South America,69.96,43.99,15.47,77.36,1.97,50.57,0,0,0
Snow Leopard,Sub-Saharan Africa,92.52,47.37,17.03,6.57,2.47,70.65,0,1,1
Whooping Crane,Oceania,78.95,48.46,24.63,27.58,1.94,87.56,1,1,0
Orangutan,East Asia,64.79,49.33,49.96,44.97,2.18,79.74,1,1,0
Kakapo,South America,85.76,65.18,9.89,28.93,1.56,51.12,0,0,1
Whooping Crane,North America,84.73,19.49,28.16,5.54,1.58,57.82,1,1,0
Snow Leopard,Southeast Asia,46.8,50.4,5.0,11.2,2.41,77.63,0,1,0
Snow Leopard,South Asia,96.89,48.97,3.21,4.61,2.19,68.66,0,1,1
Snow Leopard,Middle East,71.5,32.17,5.74,26.16,1.95,70.22,0,0,0
Giant Panda,Southeast Asia,75.97,58.73,28.94,40.26,2.67,96.83,1,0,1
Bengal Tiger,Middle East,25.27,40.58,11.89,17.01,2.66,77.9,1,1,0
Asian Elephant,Europe,66.1,45.36,10.02,23.16,2.15,80.98,1,1,1
Iberian Lynx,South Asia,82.34,74.03,11.7,23.06,1.49,89.93,0,0,0
Hellbender Salamander,South America,78.26,63.13,31.73,68.97,1.96,72.61,1,0,0
Asian Elephant,Southeast Asia,66.36,57.47,44.89,35.7,1.71,72.79,1,1,0
Hellbender Salamander,South America,47.19,54.95,31.37,32.29,2.03,80.07,0,1,1
Hawksbill Turtle,South Asia,73.44,47.86,10.64,61.57,1.67,85.18,1,0,0
Orangutan,Sub-Saharan Africa,46.69,75.99,2.98,8.37,1.58,73.9,0,1,0
Sumatran Tiger,South America,89.39,60.43,25.19,35.35,1.21,78.13,1,1,0
Blue Whale,North America,42.81,40.26,32.21,19.48,2.06,66.87,0,0,0
Bengal Tiger,Southeast Asia,87.34,31.8,31.95,75.45,1.2,70.5,1,0,0
Kakapo,Middle East,64.86,57.37,17.22,61.91,1.89,87.51,0,0,1
Asian Elephant,South America,91.06,49.27,12.46,19.47,2.24,98.7,1,1,1
Hellbender Salamander,South Asia,57.61,31.42,2.16,24.3,1.75,74.27,1,0,0
California Condor,Europe,47.82,55.57,6.0,13.39,1.62,94.55,1,0,0
Giant Panda,Central Asia,72.96,46.5,23.99,55.28,1.98,75.36,0,1,1
Galapagos Penguin,South Asia,84.72,56.9,18.05,47.12,1.71,72.61,0,1,1
Sumatran Tiger,Middle East,87.71,55.74,6.41,25.37,2.06,69.98,0,0,1
Javan Rhino,Europe,61.46,42.09,50.23,25.16,1.64,96.15,0,1,1
Asian Elephant,North America,54.82,58.23,48.43,20.81,1.96,91.71,1,1,0
Asian Elephant,Southeast Asia,54.43,43.53,12.71,72.31,1.88,77.64,1,0,0
Saola,East Asia,61.79,44.37,25.83,27.17,2.0,95.13,1,0,0
Bengal Tiger,Middle East,37.12,43.08,16.54,21.48,2.57,51.43,1,1,0
Saola,Central Asia,66.67,64.7,49.26,51.53,2.07,46.29,0,1,1
Hawksbill Turtle,Central Asia,81.18,46.35,14.97,2.22,2.18,70.62,1,1,1
African Elephant,East Asia,72.66,67.84,51.72,23.96,1.78,93.48,1,0,1
Giant Panda,Sub-Saharan Africa,71.92,73.19,45.41,56.56,2.08,80.17,0,1,1
Javan Rhino,South Asia,73.69,40.4,29.87,83.56,1.9,61.54,1,0,1
Red Panda,South America,75.92,12.03,38.73,17.64,2.01,67.48,1,0,0
Pangolin,South Asia,51.4,63.58,4.03,43.31,2.23,78.11,0,1,0
Sea Otter,Sub-Saharan Africa,71.4,45.55,17.18,17.55,1.82,32.56,0,0,0
Pangolin,North America,81.03,38.74,36.44,110.8,1.86,83.96,0,0,1
Iberian Lynx,Europe,70.31,42.35,48.12,33.79,1.83,65.95,1,1,0
African Elephant,Southeast Asia,40.84,44.61,53.73,46.88,1.82,91.19,1,1,0
Sumatran Tiger,Sub-Saharan Africa,65.36,66.86,3.26,2.94,2.06,91.21,0,0,0
Saola,Middle East,84.5,52.08,18.79,20.62,1.87,64.31,1,0,0
Giant Panda,South Asia,84.22,66.69,7.07,51.71,2.52,71.2,1,1,1
Asian Elephant,Middle East,88.33,56.42,4.13,8.3,2.94,85.71,0,1,1
Sea Otter,East Asia,60.41,45.98,26.54,33.73,1.8,79.69,0,0,0
Bengal Tiger,North America,75.39,44.93,10.59,86.12,2.1,91.12,0,0,0
Mountain Gorilla,Europe,69.58,57.3,28.05,53.73,2.36,85.88,1,1,1
Snow Leopard,Oceania,69.82,60.67,17.64,44.43,1.91,82.12,1,1,0
Blue Whale,Southeast Asia,95.73,62.96,33.77,21.64,1.65,59.02,1,1,0
African Elephant,Sub-Saharan Africa,89.43,46.6,41.02,10.64,2.61,57.41,0,0,1
Javan Rhino,Southeast Asia,93.8,52.28,20.75,28.75,2.24,36.56,0,0,0
Pangolin,Middle East,48.28,57.59,10.75,48.25,2.11,79.66,1,0,0
Hellbender Salamander,Sub-Saharan Africa,46.7,45.01,36.55,13.39,2.51,88.76,1,1,0
Sea Otter,North America,81.87,35.25,39.47,53.4,2.27,90.57,0,1,1
Iberian Lynx,Sub-Saharan Africa,82.9,39.52,37.58,35.13,1.98,63.41,0,1,1
Red Panda,Middle East,87.3,46.87,66.51,15.57,1.66,87.44,1,1,1
Bengal Tiger,Oceania,94.99,58.61,22.51,6.29,1.83,73.06,0,0,1
Bengal Tiger,Central Asia,78.78,66.37,70.0,8.15,2.42,94.18,1,1,0
Iberian Lynx,Middle East,62.32,32.37,4.24,27.91,2.24,77.57,0,0,0
Snow Leopard,South America,62.49,42.23,6.15,65.86,1.93,56.04,0,0,0
Bengal Tiger,Europe,95.8,45.35,56.73,15.76,2.62,88.17,1,0,1
Hawksbill Turtle,North America,85.01,60.33,11.67,71.88,1.94,93.29,1,0,0
Whooping Crane,North America,91.46,43.13,37.02,5.49,2.35,59.7,0,0,1
Saola,Central Asia,39.39,44.41,30.47,31.65,2.08,77.7,0,1,1
Javan Rhino,Middle East,90.38,31.64,48.5,29.28,2.68,75.16,1,0,1
Amur Leopard,South America,49.32,56.28,50.52,40.5,2.26,85.19,1,1,0
Mountain Gorilla,Oceania,80.79,47.9,65.24,34.7,2.02,81.65,1,0,0
Vaquita,Southeast Asia,73.88,41.5,14.01,21.41,1.94,83.77,1,0,1
African Elephant,North America,49.31,46.63,24.53,21.55,1.99,89.64,1,0,0
Galapagos Penguin,Middle East,78.79,64.65,11.24,57.7,1.75,66.2,1,1,0
Mountain Gorilla,Central Asia,54.48,36.94,13.0,32.94,1.52,94.13,1,0,0
Vaquita,Southeast Asia,67.67,39.06,23.34,2.74,2.11,75.7,0,1,1
Hellbender Salamander,Oceania,59.37,66.28,16.58,23.19,1.81,82.36,1,0,0
Axolotl,Sub-Saharan Africa,55.58,50.99,10.46,24.87,1.81,71.5,1,1,0
Saola,Oceania,85.62,58.71,32.6,24.75,1.97,64.54,1,0,1
Pangolin,South Asia,81.61,55.22,9.45,51.99,2.02,73.85,1,0,0
Galapagos Penguin,Middle East,69.24,49.54,37.01,18.89,2.0,66.8,1,1,0
Blue Whale,North America,63.38,45.47,37.24,36.89,2.61,31.25,0,1,0
Iberian Lynx,South America,62.08,60.81,25.9,87.12,2.23,76.75,0,0,1
Sumatran Tiger,Middle East,88.37,65.11,20.41,66.18,2.74,77.87,1,1,0
Axolotl,Europe,65.05,64.09,6.83,17.49,1.85,79.42,0,0,1
Saola,Sub-Saharan Africa,82.32,34.59,22.95,33.66,2.27,96.06,0,0,0
Giant Panda,Oceania,67.8,66.96,32.98,1.18,1.87,77.25,1,1,0
Blue Whale,South America,54.38,45.35,10.01,46.34,1.8,89.49,1,0,0
California Condor,Southeast Asia,65.85,40.18,35.73,9.91,2.75,74.94,0,1,1
Pangolin,Europe,47.5,47.8,51.74,30.22,1.73,65.26,1,0,0
Orangutan,South America,66.18,60.8,42.79,27.17,1.22,95.26,0,1,1
Amur Leopard,Middle East,80.46,57.03,76.12,63.86,1.75,47.4,1,0,0
Axolotl,South America,83.58,46.68,21.09,37.1,1.3,83.89,1,1,1
Pangolin,North America,79.78,60.89,28.88,27.01,1.67,97.38,0,0,0
Javan Rhino,East Asia,43.94,51.82,21.12,48.61,1.7,75.1,1,1,0
Blue Whale,Central Asia,59.07,42.55,7.77,71.02,2.01,92.23,1,0,0
Kakapo,South America,36.27,40.8,16.38,1.85,1.28,70.17,1,1,0
Saola,Oceania,87.55,55.33,2.36,18.36,2.42,64.88,0,1,1
California Condor,Southeast Asia,55.49,48.93,44.85,88.82,1.34,97.64,1,0,0
Giant Panda,Central Asia,77.47,32.12,16.22,118.09,1.96,92.22,0,0,1
Giant Panda,South America,70.91,61.01,28.87,15.47,1.89,51.21,0,1,1
Saola,Middle East,74.96,43.76,10.3,57.01,2.29,62.7,0,1,0
Red Panda,East Asia,67.38,70.7,28.52,15.44,2.12,83.33,0,1,1
Javan Rhino,Central Asia,78.09,31.76,24.89,11.82,2.42,94.15,0,0,1
Amur Leopard,Sub-Saharan Africa,76.15,47.65,33.25,27.85,1.87,97.58,1,1,0
Whooping Crane,Middle East,62.1,40.9,9.96,61.72,1.84,81.27,0,1,0
Saola,East Asia,53.76,37.32,5.5,25.16,2.14,82.05,1,0,0
Giant Panda,South America,72.22,43.67,39.83,61.15,2.36,89.56,0,1,1
African Elephant,Middle East,82.44,73.02,7.09,65.13,2.29,65.65,1,1,1
Hellbender Salamander,Oceania,62.24,51.86,29.56,20.78,2.11,85.58,1,0,0
Giant Panda,Sub-Saharan Africa,72.49,39.71,44.98,20.28,2.08,84.77,0,0,1
California Condor,Southeast Asia,48.3,26.23,49.87,25.7,1.99,40.41,1,1,0
Blue Whale,Sub-Saharan Africa,72.31,27.62,28.41,31.09,2.14,53.06,0,1,0
African Elephant,Southeast Asia,58.41,43.03,13.42,28.27,2.71,96.27,1,1,0
Orangutan,Middle East,95.26,41.76,48.67,33.32,1.92,92.63,1,1,0
Iberian Lynx,Central Asia,47.33,47.09,18.18,22.06,1.87,73.2,1,1,1
Amur Leopard,Europe,86.14,20.46,0.27,10.81,1.85,97.15,0,1,1
Galapagos Penguin,Middle East,48.75,48.81,32.45,102.8,2.14,95.01,1,1,1
Iberian Lynx,South Asia,80.41,63.36,33.28,18.35,1.26,64.61,1,0,0
Amur Leopard,Oceania,77.29,71.1,53.32,6.08,1.95,63.1,1,1,1
Iberian Lynx,Oceania,76.47,25.37,9.06,51.33,2.31,85.23,0,0,1
Hellbender Salamander,South Asia,78.72,39.58,24.58,12.79,1.82,57.44,1,1,0
Amur Leopard,South Asia,49.41,38.89,61.07,47.76,2.07,86.72,1,1,0
Giant Panda,South Asia,74.7,51.89,5.71,17.66,2.74,95.85,1,0,0
Amur Leopard,Central Asia,38.46,34.14,17.12,116.0,2.12,74.16,1,1,0
Sumatran Tiger,Sub-Saharan Africa,53.61,71.87,35.33,78.7,1.22,58.95,0,0,0
